Date,Opponent,HomeAway,Goals_For,Goals_Against,Shots,Possession,Opponent_Weakness,Result
2022-11-29,Hawassa City,Away,1,3,8,45,Fast counter attacks,L
2022-11-22,Dire Dawa Kenema,Home,1,0,11,58,Weak on flanks,W
2022-11-15,Ethiopian Medhin,Away,0,1,7,47,Strong defense,L
2022-11-08,Welwalo Adigrat,Home,2,0,12,60,Weak aerial defense,W
2022-11-01,Shire Endaselassie,Away,1,2,10,48,Physical play,L
2022-10-25,Bahir Dar Kenema,Home,0,1,9,55,Strong wing attack,L
2022-10-18,Ethio Electric,Away,1,1,11,52,Weak midfield,D
2022-10-11,Arba Minch Kenema,Away,2,2,13,54,Slow defense,D
2022-10-04,Defence Force,Home,1,0,10,57,Weak set-pieces,W
2022-09-27,Sidama Bunna,Away,0,2,8,46,Strong pressing,L
2022-09-20,Hawassa City,Home,2,1,14,61,Weak fullbacks,W
2022-09-13,Dire Dawa Kenema,Away,1,1,10,49,Weak transitions,D
2022-09-06,Ethiopian Medhin,Home,3,1,16,63,Slow defenders,W
2025-12-15,"Saint George",Home,1,1,7,50,"Weak at wings",D
2025-10-29,"Wolaita Dicha",Home,2,1,7,50,"Weak at wings",W
2025-11-25,"Welwalo Adigrat University",Home,2,1,7,50,"Weak at wings",W
2025-12-05,"Shire Endaselassie",Home,1,1,7,50,"Weak at wings",D
2026-01-18,"Jimma Aba Jifar",Home,4,5,7,50,"Weak at wings",L
2026-01-16,"Wolaita Dicha",Home,0,0,7,50,"Weak at wings",D
